   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
203.03262,17.69707,-10.9283,1.7733,29918.33008
201.15793,17.67147,-11.00176,1.69083,29917.88086
199.19792,17.64473,-11.07854,1.76876,29917.43555
197.1498,17.6169,-11.15847,2.02677,29916.99023
194.94243,17.58759,-11.24269,2.08729,29916.54297
192.63536,17.55683,-11.33113,1.95547,29916.0957
190.38045,17.52595,-11.41998,1.80746,29915.85938
188.21812,17.4959,-11.50649,1.83327,29915.39258
186.19113,17.46725,-11.58897,1.84807,29914.92578
184.33366,17.44039,-11.66638,1.81225,29914.45898
182.68794,17.41582,-11.7372,1.87138,29913.99219
181.26964,17.39366,-11.80112,1.88368,29913.52539
180.12015,17.37424,-11.85713,1.56048,29913.06055
179.43102,17.35892,-11.90136,1.37608,29912.5957
179.21234,17.34872,-11.93079,1.65872,29912.13086
179.12737,17.34216,-11.94974,3.0285,29911.66797
178.92828,17.33514,-11.96999,2.77406,29911.20508
178.5558,17.32734,-11.99253,3.32871,29910.74023
178.14493,17.31776,-12.0202,2.4435,29910.27734
177.87625,17.30909,-12.04522,2.555,29909.81445
177.72839,17.30144,-12.06734,2.01502,29909.35156
177.91547,17.29645,-12.08175,2.02469,29908.89062
178.65237,17.29455,-12.08723,1.95127,29908.39844
179.76123,17.29537,-12.08487,2.26453,29907.81641
180.95934,17.29781,-12.07782,2.43142,29907.23047
182.12538,17.30083,-12.0691,2.62956,29906.65234
183.17517,17.30317,-12.06234,2.86761,29906.05273
183.87175,17.30333,-12.06187,3.52166,29905.45508
184.10062,17.29895,-12.07454,3.46021,29904.85547
183.96773,17.29007,-12.10018,3.23368,29904.25781
183.6158,17.27775,-12.13581,2.82943,29903.6582
183.11812,17.26341,-12.17725,3.01111,29903.06055
182.38539,17.24678,-12.22534,2.95325,29902.46289
181.52393,17.22814,-12.27926,2.72655,29901.86328
180.66193,17.20867,-12.33558,2.48025,29901.26758
179.85426,17.1895,-12.39109,2.51035,29900.66992
179.11012,17.17086,-12.44504,2.43618,29900.07422
178.48619,17.15321,-12.49617,2.33472,29899.48047
177.95667,17.13683,-12.54364,2.65884,29898.88281
177.44885,17.12096,-12.58962,2.64862,29898.28906
177.00568,17.10563,-12.63406,2.6331,29897.69727
176.64137,17.09105,-12.67633,2.57403,29897.10352
176.40822,17.0776,-12.71536,2.42926,29896.51172
176.41682,17.066,-12.74901,1.82025,29895.92188
176.82809,17.05807,-12.77201,1.92238,29895.33008
177.51872,17.05379,-12.78445,2.16231,29894.73633
178.42828,17.05218,-12.78912,2.01494,29894.14648
179.60986,17.05343,-12.78548,2.00203,29893.55664
180.9296,17.0573,-12.77425,2.43779,29892.9668
182.265,17.06215,-12.76017,2.28447,29892.38281
183.67117,17.06791,-12.74345,2.18348,29891.79492
185.16565,17.0747,-12.72375,2.06668,29891.20703
186.61121,17.08213,-12.7022,2.56056,29890.61914
187.82724,17.08884,-12.68276,2.92414,29890.0293
188.90137,17.09287,-12.67107,2.31296,29889.44141
189.89145,17.09603,-12.66189,2.36351,29888.85156
190.76224,17.09799,-12.65621,2.27218,29888.26367
191.53333,17.09884,-12.65374,2.27083,29887.67383
192.19286,17.0985,-12.65474,2.10511,29887.08594
192.81001,17.09736,-12.65804,1.97782,29886.49805
193.41412,17.09593,-12.66219,1.87335,29885.9082
194.02773,17.09455,-12.66618,1.80357,29885.31836
194.65912,17.09342,-12.66948,1.75942,29884.73047
195.30771,17.09259,-12.67186,1.73075,29884.14258
195.9769,17.09208,-12.67336,1.71219,29883.55469
196.65527,17.09181,-12.67414,1.69501,29882.96484
197.33783,17.09171,-12.67442,1.67663,29882.37695
198.01633,17.09172,-12.67439,1.65475,29881.78711
